isbn,title,authors,year,price,genre
9780545010263,Harry Potter and the Sorcerer's Stone 43,"[""J.K. Rowling""]",1976,8.99,Fantasy
9780545010264,Harry Potter and the Sorcerer's Stone 44,"[""J.K. Rowling""]",1977,8.99,Fantasy
9780545010265,Harry Potter and the Sorcerer's Stone 45,"[""J.K. Rowling""]",1978,8.99,Fantasy
9780545010266,Harry Potter and the Sorcerer's Stone 46,"[""J.K. Rowling""]",1979,8.99,Fantasy
9780545010267,Harry Potter and the Sorcerer's Stone 47,"[""J.K. Rowling""]",1980,8.99,Fantasy
9780545010268,Harry Potter and the Sorcerer's Stone 48,"[""J.K. Rowling""]",1981,8.99,Fantasy
9780545010269,Harry Potter and the Sorcerer's Stone 49,"[""J.K. Rowling""]",1982,8.99,Fantasy
9780545010270,Harry Potter and the Sorcerer's Stone 50,"[""J.K. Rowling""]",1983,8.99,Fantasy
9780545010271,Harry Potter and the Sorcerer's Stone 51,"[""J.K. Rowling""]",1984,8.99,Fantasy
9780545010272,Harry Potter and the Sorcerer's Stone 52,"[""J.K. Rowling""]",1985,8.99,Fantasy
9780545010273,Harry Potter and the Sorcerer's Stone 53,"[""J.K. Rowling""]",1986,8.99,Fantasy
9780545010274,Harry Potter and the Sorcerer's Stone 54,"[""J.K. Rowling""]",1987,8.99,Fantasy
9780545010275,Harry Potter and the Sorcerer's Stone 55,"[""J.K. Rowling""]",1988,8.99,Fantasy
9780545010276,Harry Potter and the Sorcerer's Stone 56,"[""J.K. Rowling""]",1989,8.99,Fantasy
9780545010277,Harry Potter and the Sorcerer's Stone 57,"[""J.K. Rowling""]",1990,8.99,Fantasy
9780545010278,Harry Potter and the Sorcerer's Stone 58,"[""J.K. Rowling""]",1991,8.99,Fantasy
9780545010279,Harry Potter and the Sorcerer's Stone 59,"[""J.K. Rowling""]",1992,8.99,Fantasy
9780545010280,Harry Potter and the Sorcerer's Stone 60,"[""J.K. Rowling""]",1993,8.99,Fantasy
9780545010281,Harry Potter and the Sorcerer's Stone 61,"[""J.K. Rowling""]",1994,8.99,Fantasy
9780545010282,Harry Potter and the Sorcerer's Stone 62,"[""J.K. Rowling""]",1995,8.99,Fantasy
9780545010283,Harry Potter and the Sorcerer's Stone 63,"[""J.K. Rowling""]",1996,8.99,Fantasy
9780545010284,Harry Potter and the Sorcerer's Stone 64,"[""J.K. Rowling""]",1997,8.99,Fantasy
9780545010285,Harry Potter and the Sorcerer's Stone 65,"[""J.K. Rowling""]",1998,8.99,Fantasy
9780545010286,Harry Potter and the Sorcerer's Stone 66,"[""J.K. Rowling""]",1999,8.99,Fantasy
9780545010287,Harry Potter and the Sorcerer's Stone 67,"[""J.K. Rowling""]",2000,8.99,Fantasy
9780545010288,Harry Potter and the Sorcerer's Stone 68,"[""J.K. Rowling""]",2001,8.99,Fantasy
9780545010289,Harry Potter and the Sorcerer's Stone 69,"[""J.K. Rowling""]",2002,8.99,Fantasy
9780545010290,Harry Potter and the Sorcerer's Stone 70,"[""J.K. Rowling""]",2003,8.99,Fantasy
9780545010291,Harry Potter and the Sorcerer's Stone 71,"[""J.K. Rowling""]",2004,8.99,Fantasy
9780545010292,Harry Potter and the Sorcerer's Stone 72,"[""J.K. Rowling""]",2005,8.99,Fantasy
9780545010293,Harry Potter and the Sorcerer's Stone 73,"[""J.K. Rowling""]",2006,8.99,Fantasy
9780545010294,Harry Potter and the Sorcerer's Stone 74,"[""J.K. Rowling""]",2007,8.99,Fantasy
9780545010295,Harry Potter and the Sorcerer's Stone 75,"[""J.K. Rowling""]",2008,8.99,Fantasy
9780545010296,Harry Potter and the Sorcerer's Stone 76,"[""J.K. Rowling""]",2009,8.99,Fantasy
9780545010297,Harry Potter and the Sorcerer's Stone 77,"[""J.K. Rowling""]",2010,8.99,Fantasy
9780545010298,Harry Potter and the Sorcerer's Stone 78,"[""J.K. Rowling""]",2011,8.99,Fantasy
9780545010299,Harry Potter and the Sorcerer's Stone 79,"[""J.K. Rowling""]",2012,8.99,Fantasy
9780545010300,Harry Potter and the Sorcerer's Stone 80,"[""J.K. Rowling""]",2013,8.99,Fantasy
9780545010301,Harry Potter and the Sorcerer's Stone 81,"[""J.K. Rowling""]",2014,8.99,Fantasy
9780545010302,Harry Potter and the Sorcerer's Stone 82,"[""J.K. Rowling""]",2015,8.99,Fantasy
9780545010303,Harry Potter and the Sorcerer's Stone 83,"[""J.K. Rowling""]",2016,8.99,Fantasy
9780545010304,Harry Potter and the Sorcerer's Stone 84,"[""J.K. Rowling""]",2017,8.99,Fantasy
9780545010305,Harry Potter and the Sorcerer's Stone 85,"[""J.K. Rowling""]",2018,8.99,Fantasy
9780545010306,Harry Potter and the Sorcerer's Stone 86,"[""J.K. Rowling""]",2019,8.99,Fantasy
9780545010307,Harry Potter and the Sorcerer's Stone 87,"[""J.K. Rowling""]",2020,8.99,Fantasy
9780545010308,Harry Potter and the Sorcerer's Stone 88,"[""J.K. Rowling""]",2021,8.99,Fantasy
9780545010309,Harry Potter and the Sorcerer's Stone 89,"[""J.K. Rowling""]",2022,8.99,Fantasy
9780545010310,Harry Potter and the Sorcerer's Stone 90,"[""J.K. Rowling""]",2023,8.99,Fantasy
9780545010311,Harry Potter and the Sorcerer's Stone 91,"[""J.K. Rowling""]",2024,8.99,Fantasy
9780545010312,Harry Potter and the Sorcerer's Stone 92,"[""J.K. Rowling""]",2025,8.99,Fantasy
9780545010313,Harry Potter and the Sorcerer's Stone 93,"[""J.K. Rowling""]",2026,8.99,Fantasy
9780545010314,Harry Potter and the Sorcerer's Stone 94,"[""J.K. Rowling""]",2027,8.99,Fantasy
9780545010315,Harry Potter and the Sorcerer's Stone 95,"[""J.K. Rowling""]",2028,8.99,Fantasy
9780545010316,Harry Potter and the Sorcerer's Stone 96,"[""J.K. Rowling""]",2029,8.99,Fantasy
9780545010317,Harry Potter and the Sorcerer's Stone 97,"[""J.K. Rowling""]",2030,8.99,Fantasy
